Date : 2025-12-02 22:13:04
Directory : d:\root\dev\js\volunteer-hub
Total : 110 files,  9820 codes, 228 comments, 1647 blanks, all 11695 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\root\dev\js\volunteer-hub\backend\.cargo\config.toml                                            | TOML               |          2 |          0 |          1 |          3 |
| d:\root\dev\js\volunteer-hub\backend\.clippy.toml                                                  | TOML               |          9 |         71 |          2 |         82 |
| d:\root\dev\js\volunteer-hub\backend\.rustfmt.toml                                                 | TOML               |         31 |         47 |          2 |         80 |
| d:\root\dev\js\volunteer-hub\backend\Cargo.lock                                                    | TOML               |      1,521 |          2 |        176 |      1,699 |
| d:\root\dev\js\volunteer-hub\backend\Cargo.toml                                                    | TOML               |         40 |          7 |          8 |         55 |
| d:\root\dev\js\volunteer-hub\backend\aliases\Cargo.toml                                            | TOML               |         14 |          0 |          3 |         17 |
| d:\root\dev\js\volunteer-hub\backend\aliases\src\lib.rs                                            | Rust               |         26 |          1 |          6 |         33 |
| d:\root\dev\js\volunteer-hub\backend\axiom-derive\Cargo.toml                                       | TOML               |         18 |          0 |          5 |         23 |
| d:\root\dev\js\volunteer-hub\backend\axiom-derive\src\erratum.rs                                   | Rust               |        271 |          1 |         48 |        320 |
| d:\root\dev\js\volunteer-hub\backend\axiom-derive\src\lib.rs                                       | Rust               |         10 |         27 |          4 |         41 |
| d:\root\dev\js\volunteer-hub\backend\axiom-derive\src\verifiable.rs                                | Rust               |        111 |          0 |         27 |        138 |
| d:\root\dev\js\volunteer-hub\backend\axiom\Cargo.toml                                              | TOML               |         17 |          0 |          4 |         21 |
| d:\root\dev\js\volunteer-hub\backend\axiom\src\lib.rs                                              | Rust               |        209 |          5 |         36 |        250 |
| d:\root\dev\js\volunteer-hub\backend\bindings\wasm-bindings\Cargo.toml                             | TOML               |         35 |          1 |          8 |         44 |
| d:\root\dev\js\volunteer-hub\backend\bindings\wasm-bindings\src\build.rs                           | Rust               |         23 |          2 |          5 |         30 |
